fpr,tpr
0.006627,0.135772
0.006627,0.135902
0.006627,0.136032
0.006627,0.136162
0.006627,0.136293
0.006627,0.136423
0.006627,0.136553
0.006627,0.136683
0.006627,0.136813
0.006627,0.136944
0.006627,0.137074
0.006627,0.137204
0.006627,0.137334
0.006627,0.137464
0.006627,0.137594
0.006627,0.137725
0.006627,0.137855
0.006627,0.137985
0.006627,0.138115
0.006627,0.138245
0.006627,0.138375
0.006627,0.138506
0.006627,0.138636
0.006627,0.138766
0.006627,0.138896
0.006627,0.139026
0.006627,0.139156
0.006627,0.139287
0.006627,0.139417
0.006627,0.139547
0.006627,0.139677
0.006627,0.139807
0.006627,0.139938
0.006627,0.140068
0.006627,0.140198
0.006627,0.140328
0.006627,0.140458
0.006627,0.140588
0.006627,0.140719
0.006627,0.140849
0.006627,0.140979
0.006627,0.141109
0.006627,0.141239
0.006627,0.141369
0.006627,0.1415
0.006627,0.14163
0.006627,0.14176
0.006627,0.14189
0.006627,0.14202
0.006627,0.14215
0.006627,0.142281
0.006627,0.142411
0.006627,0.142541
0.006627,0.142671
0.006627,0.142801
0.006627,0.142932
0.006627,0.143062
0.006627,0.143192
0.006627,0.143322
0.006627,0.143452
0.006627,0.143582
0.006627,0.143713
0.006627,0.143843
0.006627,0.143973
0.006627,0.144103
0.006627,0.144233
0.006627,0.144363
0.006627,0.144494
0.006627,0.144624
0.006627,0.144754
0.006627,0.144884
0.006627,0.145014
0.006627,0.145144
0.006627,0.145275
0.006627,0.145405
0.006627,0.145535
0.006627,0.145665
0.006627,0.145795
0.006627,0.145926
0.006627,0.146056
0.006627,0.146186
0.006627,0.146316
0.006627,0.146446
0.006627,0.146576
0.006627,0.146707
0.006627,0.146837
0.006627,0.146967
0.006627,0.147097
0.006627,0.147227
0.006627,0.147357
0.006627,0.147488
0.006627,0.147618
0.006627,0.147748
0.006627,0.147878
0.006627,0.148008
0.006627,0.148139
0.006627,0.148269
0.006627,0.148399
0.006627,0.148529
0.006627,0.148659
0.006627,0.148789
0.006627,0.14892
0.006627,0.14905
0.006627,0.14918
0.006627,0.14931
0.006627,0.14944
0.006627,0.14957
0.006627,0.149701
0.006627,0.149831
0.006627,0.149961
0.006627,0.150091
0.00729,0.150091
0.00729,0.150221
0.00729,0.150351
0.00729,0.150482
